41
  0.000000e+00   0.000000e+00   0.000000e+00
  9.798957e-03   1.995101e-03   0.000000e+00
  2.118556e-02   4.300636e-03   0.000000e+00
  3.439501e-02   6.958010e-03   0.000000e+00
  4.968953e-02   1.001172e-02   0.000000e+00
  6.735866e-02   1.350868e-02   0.000000e+00
  8.771834e-02   1.749715e-02   0.000000e+00
  1.111084e-01   2.202518e-02   0.000000e+00
  1.378881e-01   2.713846e-02   0.000000e+00
  1.684286e-01   3.287753e-02   0.000000e+00
  2.031025e-01   3.927435e-02   0.000000e+00
  2.422697e-01   4.634823e-02   0.000000e+00
  2.862591e-01   5.410132e-02   0.000000e+00
  3.353466e-01   6.251410e-02   0.000000e+00
  3.897301e-01   7.154106e-02   0.000000e+00
  4.495019e-01   8.110757e-02   0.000000e+00
  5.146219e-01   9.110832e-02   0.000000e+00
  5.848933e-01   1.014083e-01   0.000000e+00
  6.599446e-01   1.118468e-01   0.000000e+00
  7.392217e-01   1.222446e-01   0.000000e+00
  8.219923e-01   1.324135e-01   0.000000e+00
  9.073648e-01   1.421692e-01   0.000000e+00
  9.943227e-01   1.513432e-01   0.000000e+00
  1.081770e+00   1.597944e-01   0.000000e+00
  1.168585e+00   1.674185e-01   0.000000e+00
  1.253679e+00   1.741524e-01   0.000000e+00
  1.336050e+00   1.799752e-01   0.000000e+00
  1.414824e+00   1.849048e-01   0.000000e+00
  1.489292e+00   1.889914e-01   0.000000e+00
  1.558923e+00   1.923088e-01   0.000000e+00
  1.623368e+00   1.949459e-01   0.000000e+00
  1.682452e+00   1.969979e-01   0.000000e+00
  1.736153e+00   1.985597e-01   0.000000e+00
  1.784579e+00   1.997204e-01   0.000000e+00
  1.827938e+00   2.005607e-01   0.000000e+00
  1.866515e+00   2.011501e-01   0.000000e+00
  1.900643e+00   2.015474e-01   0.000000e+00
  1.930685e+00   2.018008e-01   0.000000e+00
  1.957014e+00   2.019486e-01   0.000000e+00
  1.980000e+00   2.020210e-01   0.000000e+00
  2.000000e+00   2.020410e-01   0.000000e+00
17
  2.000000e+00   2.020410e-01   0.000000e+00
  2.019324e+00   2.071984e-01   0.000000e+00
  2.040647e+00   2.128893e-01   0.000000e+00
  2.063906e+00   2.190971e-01   0.000000e+00
  2.088960e+00   2.257839e-01   0.000000e+00
  2.115585e+00   2.328898e-01   0.000000e+00
  2.143474e+00   2.403331e-01   0.000000e+00
  2.172250e+00   2.480134e-01   0.000000e+00
  2.201485e+00   2.558160e-01   0.000000e+00
  2.230720e+00   2.636185e-01   0.000000e+00
  2.259496e+00   2.712988e-01   0.000000e+00
  2.287385e+00   2.787421e-01   0.000000e+00
  2.314010e+00   2.858481e-01   0.000000e+00
  2.339064e+00   2.925348e-01   0.000000e+00
  2.362323e+00   2.987426e-01   0.000000e+00
  2.383646e+00   3.044336e-01   0.000000e+00
  2.402970e+00   3.095909e-01   0.000000e+00
17
  2.402970e+00   3.095909e-01   0.000000e+00
  2.402874e+00   2.995913e-01   0.000000e+00
  2.402763e+00   2.880414e-01   0.000000e+00
  2.402636e+00   2.748199e-01   0.000000e+00
  2.402493e+00   2.598396e-01   0.000000e+00
  2.402332e+00   2.430627e-01   0.000000e+00
  2.402154e+00   2.245165e-01   0.000000e+00
  2.401960e+00   2.043070e-01   0.000000e+00
  2.401752e+00   1.826273e-01   0.000000e+00
  2.401532e+00   1.597573e-01   0.000000e+00
  2.401305e+00   1.360548e-01   0.000000e+00
  2.401074e+00   1.119357e-01   0.000000e+00
  2.400843e+00   8.784647e-02   0.000000e+00
  2.400616e+00   6.423099e-02   0.000000e+00
  2.400398e+00   4.149904e-02   0.000000e+00
  2.400192e+00   1.999908e-02   0.000000e+00
  2.400000e+00   0.000000e+00   0.000000e+00
